Last 4 Card Digits,Recency,Frequency,Monetary,Unique_Items,Avg_Order_Val,Avg_Tip,Discount_Used,Visits_Nov,Visits_Dec,Visits_Jan,Days_Since_First,Segment,Segment_Code,Churn,Churn_Probability,Risk_Level,Tier
9372.0,75,1,266.17,9,19.01214285714286,43.02,0,14,0,0,75,Lost,3,1,0.92,High,Rule-Based
9386.0,32,1,67.7,3,22.566666666666666,17.0,0,0,3,0,32,Lost,3,1,0.92,High,Rule-Based
9389.0,11,1,55.64,3,18.546666666666667,6.0,0,0,0,3,11,New,1,1,0.3,Low,Rule-Based
9395.0,71,1,19.63,1,19.63,0.49,0,1,0,0,71,Lost,3,1,0.92,High,Rule-Based
9396.0,68,1,55.78,4,13.945,20.0,0,4,0,0,68,Lost,3,1,0.92,High,Rule-Based
9398.0,73,1,74.22,4,18.555,0.0,0,4,0,0,73,Lost,3,1,0.92,High,Rule-Based
9421.0,80,1,62.17999999999999,4,15.544999999999998,12.0,0,4,0,0,80,Lost,3,1,0.92,High,Rule-Based
9442.0,31,1,15.27,1,15.27,9.5,1,0,1,0,31,Lost,3,1,0.92,High,Rule-Based
9449.0,53,1,58.89,2,9.815,10.0,0,0,6,0,53,Lost,3,1,0.92,High,Rule-Based
9452.0,76,1,40.43,2,13.476666666666667,8.06,0,3,0,0,76,Lost,3,1,0.92,High,Rule-Based
9457.0,27,1,20.74,1,20.74,0.98,0,0,0,1,27,New,1,1,0.65,Medium,Rule-Based
9465.0,75,1,43.629999999999995,2,21.814999999999998,9.05,0,2,0,0,75,Lost,3,1,0.92,High,Rule-Based
9499.0,10,1,52.5,2,26.25,15.0,0,0,0,2,10,New,1,1,0.3,Low,Rule-Based
9505.0,11,1,66.61,4,16.6525,11.55,0,0,0,4,11,New,1,1,0.3,Low,Rule-Based
9513.0,66,1,52.5,2,26.25,9.45,0,2,0,0,66,Lost,3,1,0.92,High,Rule-Based
9519.0,46,1,56.82,3,18.94,10.0,0,0,3,0,46,Lost,3,1,0.92,High,Rule-Based
9521.0,43,1,111.41,5,22.282,6.5,0,0,5,0,43,Lost,3,1,0.92,High,Rule-Based
9539.0,12,1,77.61,3,19.4025,13.0,0,0,0,4,12,New,1,1,0.3,Low,Rule-Based
9541.0,26,1,44.79,2,22.395,12.26,0,0,0,2,26,New,1,1,0.65,Medium,Rule-Based
9550.0,29,1,5.46,1,5.46,20.0,0,0,0,1,29,New,1,1,0.65,Medium,Rule-Based
9552.0,34,1,98.26,5,19.652,27.3,0,0,5,0,34,New,1,0,0.92,High,Rule-Based
9553.0,46,1,334.17,15,19.65705882352941,23.39,0,0,17,0,46,Lost,3,1,0.92,High,Rule-Based
9558.0,18,1,103.69,5,20.738,7.85,0,0,0,5,18,New,1,1,0.65,Medium,Rule-Based
9580.0,24,1,61.129999999999995,4,15.282499999999999,6.98,0,0,0,4,24,New,1,1,0.65,Medium,Rule-Based
9584.0,17,1,69.95,3,23.316666666666666,6.989999999999999,0,0,0,3,17,New,1,1,0.65,Medium,Rule-Based
9588.0,14,1,15.32,1,15.32,9.82,0,0,0,1,14,New,1,1,0.65,Low,Rule-Based
9599.0,47,1,259.76,6,21.646666666666665,13.75,0,0,12,0,47,Lost,3,1,0.92,High,Rule-Based
9612.0,16,1,70.99,4,17.7475,0.0,0,0,0,4,16,New,1,1,0.65,Medium,Rule-Based
9613.0,10,1,0.0,2,0.0,25.0,2,0,0,2,10,New,1,0,0.3,Low,Rule-Based
9628.0,76,1,89.58,6,14.93,19.71,0,6,0,0,76,Lost,3,1,0.92,High,Rule-Based
9632.0,26,1,258.01,9,16.125625,48.54,0,0,0,16,26,New,1,0,0.65,Medium,Rule-Based
9640.0,27,1,157.28,7,19.66,28.31,0,0,0,8,27,New,1,1,0.65,Medium,Rule-Based
9647.0,46,1,44.79,2,11.1975,3.0,0,0,4,0,46,Lost,3,1,0.92,High,Rule-Based
9655.0,63,1,9.26,1,9.26,35.0,1,1,0,0,63,Lost,3,1,0.92,High,Rule-Based
9656.0,70,1,69.95,3,23.316666666666666,4.0,0,3,0,0,70,Lost,3,1,0.92,High,Rule-Based
9657.0,11,1,120.23,4,15.02875,0.0,0,0,0,8,11,New,1,1,0.3,Low,Rule-Based
9681.0,73,1,97.06,3,24.265,11.9,0,4,0,0,73,Lost,3,1,0.92,High,Rule-Based
9684.0,17,1,221.73,9,22.173,15.0,0,0,0,10,17,New,1,1,0.65,Medium,Rule-Based
